Period,S&P 500 index
1985-02-01,180.88473684210527
1985-01-01,171.61272727272728
1984-12-01,164.48
1984-11-01,166.27285714285713
1984-10-01,164.81869565217391
1984-09-01,166.11263157894737
1984-08-01,164.42086956521737
1984-07-01,151.07809523809524
1984-06-01,153.1247619047619
1984-05-01,156.55090909090907
1984-04-01,157.6015
1984-03-01,157.43863636363636
1984-02-01,157.25050000000002
1984-01-01,166.39238095238096
1983-12-01,164.3652380952381
1983-11-01,165.23
1983-10-01,167.6547619047619
1983-09-01,167.16142857142856
1983-08-01,162.4186956521739
1983-07-01,166.956
1983-06-01,166.39
1983-05-01,164.09666666666666
1983-04-01,157.7105
1983-03-01,151.87565217391304
1983-02-01,146.79526315789474
1983-01-01,144.2657142857143
1982-12-01,139.3659090909091
1982-11-01,138.10238095238097
1982-10-01,132.70761904761906
1982-09-01,122.43285714285715
1982-08-01,109.65045454545454
1982-07-01,109.37571428571428
1982-06-01,109.71
1982-05-01,116.3525
1982-04-01,116.30666666666667
1982-03-01,110.84217391304347
1982-02-01,114.49526315789473
1982-01-01,117.27650000000001
1981-12-01,123.7940909090909
1981-11-01,122.9195
1981-10-01,119.80681818181819
1981-09-01,118.2695238095238
1981-08-01,129.7152380952381
1981-07-01,129.12863636363636
1981-06-01,132.27772727272728
1981-05-01,131.727
1981-04-01,134.45904761904762
1981-03-01,133.185
1981-02-01,128.39526315789476
1981-01-01,132.96571428571428
1980-12-01,133.48318181818183
1980-11-01,135.65444444444447
1980-10-01,130.22173913043477
1980-09-01,126.51190476190476
1980-08-01,123.49666666666666
1980-07-01,119.83272727272728
1980-06-01,114.54666666666667
1980-05-01,107.69428571428571
1980-04-01,102.96666666666667
1980-03-01,104.68619047619048
1980-02-01,115.33900000000001
1980-01-01,110.91181818181818
1979-12-01,107.78699999999999
1979-11-01,103.66380952380953
1979-10-01,104.47304347826088
1979-09-01,108.59684210526316
1979-08-01,107.35608695652174
1979-07-01,102.71142857142857
1979-06-01,101.72761904761906
1979-05-01,99.72727272727273
1979-04-01,102.066
1979-03-01,100.11227272727274
1979-02-01,98.22947368421053
1979-01-01,99.70499999999998
1978-12-01,96.1075
1978-11-01,94.70952380952382
1978-10-01,100.58363636363637
1978-09-01,104.0135
1978-08-01,103.92173913043477
1978-07-01,97.1925
1978-06-01,97.66181818181818
1978-05-01,97.41454545454545
1978-04-01,92.7105
1978-03-01,88.81954545454545
1978-02-01,88.97526315789473
1978-01-01,90.25428571428571
1977-12-01,93.82047619047619
1977-11-01,94.28333333333333
1977-10-01,93.7395238095238
1977-09-01,96.23238095238096
1977-08-01,97.75
1977-07-01,100.17842105263158
1977-06-01,99.28590909090909
1977-05-01,98.76047619047618
1977-04-01,99.05
1977-03-01,100.57826086956523
1977-02-01,100.9557894736842
1977-01-01,103.81333333333333
1976-12-01,104.66090909090909
1976-11-01,101.1935
1976-10-01,101.88523809523811
1976-09-01,105.45333333333333
1976-08-01,103.29181818181819
1976-07-01,104.20095238095239
1976-06-01,101.76681818181818
1976-05-01,101.162
1976-04-01,101.92952380952381
1976-03-01,101.08347826086957
1976-02-01,100.63947368421053
1976-01-01,96.85952380952381
1975-12-01,88.70045454545455
1975-11-01,90.06526315789473
1975-10-01,88.57434782608696
1975-09-01,84.67238095238095
1975-08-01,85.71380952380953
1975-07-01,92.48727272727272
1975-06-01,92.39714285714285
1975-05-01,90.09619047619047
1975-04-01,84.72318181818183
1975-03-01,83.78200000000001
1975-02-01,80.09684210526315
1975-01-01,72.56409090909091
1974-12-01,67.07333333333334
1974-11-01,71.737
1974-10-01,69.44
1974-09-01,68.123
1974-08-01,76.02499999999999
1974-07-01,82.8190909090909
1974-06-01,89.7895
1974-05-01,89.66727272727273
1974-04-01,92.45619047619047
1974-03-01,97.43904761904761
1974-02-01,93.45315789473683
1974-01-01,96.11
1973-12-01,94.784
1973-11-01,102.03285714285714
1973-10-01,109.84434782608696
1973-09-01,105.65789473684211
1973-08-01,103.7995652173913
1973-07-01,105.83428571428571
1973-06-01,104.7547619047619
1973-05-01,107.21954545454545
1973-04-01,110.274
1973-03-01,112.41545454545454
1973-02-01,114.16421052631578
1973-01-01,118.42190476190477
1972-12-01,117.49736842105263
1972-11-01,115.047
1972-10-01,109.56272727272727
1972-09-01,109.39200000000001
1972-08-01,111.00739130434783
1972-07-01,107.2115
1972-06-01,108.01045454545455
1972-05-01,107.64545454545454
1972-04-01,108.80550000000001
1972-03-01,107.6691304347826
1972-02-01,105.24300000000001
1972-01-01,103.30285714285715
1971-12-01,99.17363636363638
1971-11-01,92.78285714285714
1971-10-01,97.29761904761905
1971-09-01,99.4047619047619
1971-08-01,97.24772727272726
1971-07-01,99.00333333333334
1971-06-01,99.72136363636363
1971-05-01,101.644
1971-04-01,103.04190476190476
1971-03-01,99.60347826086957
1971-02-01,97.11000000000001
1971-01-01,93.49600000000001
1970-12-01,90.05454545454546
1970-11-01,84.28450000000001
1970-10-01,84.37
1970-09-01,82.58380952380952
1970-08-01,77.91809523809523
1970-07-01,75.72227272727274
1970-06-01,75.58954545454546
1970-05-01,76.06142857142856
1970-04-01,85.95227272727273
1970-03-01,88.75190476190475
1970-02-01,87.16421052631578
1970-01-01,90.31
1969-12-01,91.11045454545454
1969-11-01,96.20526315789475
1969-10-01,95.53478260869566
1969-09-01,94.50619047619048
1969-08-01,94.18333333333332
1969-07-01,94.71190476190476
1969-06-01,99.11714285714285
1969-05-01,104.62190476190476
1969-04-01,101.26285714285714
1969-03-01,99.4095238095238
1969-02-01,101.4688888888889
1969-01-01,102.04318181818181
1968-12-01,106.47555555555556
1968-11-01,105.40058823529411
1968-10-01,103.78944444444444
1968-09-01,101.34
1968-08-01,98.11388888888888
1968-07-01,100.29529411764706
1968-06-01,100.5264705882353
1968-05-01,97.86545454545454
1968-04-01,95.671
1968-03-01,89.09285714285714
1968-02-01,90.75315789473684
1968-01-01,95.03772727272727
1967-12-01,95.3025
1967-11-01,92.66
1967-10-01,95.66363636363636
1967-09-01,95.809
1967-08-01,94.49391304347827
1967-07-01,93.014
1967-06-01,91.43363636363637
1967-05-01,92.59181818181818
1967-04-01,90.9595
1967-03-01,89.41772727272728
1967-02-01,87.35947368421053
1967-01-01,84.4504761904762
1966-12-01,81.32714285714285
1966-11-01,80.9945
1966-10-01,77.12904761904763
1966-09-01,77.81333333333333
1966-08-01,80.65086956521739
1966-07-01,85.8385
1966-06-01,86.06
1966-05-01,86.78190476190477
1966-04-01,91.5955
1966-03-01,88.87782608695652
1966-02-01,92.68894736842105
1966-01-01,93.31619047619047
1965-12-01,91.73681818181818
1965-11-01,92.146
1965-10-01,91.3947619047619
1965-09-01,89.37904761904763
1965-08-01,86.48727272727272
1965-07-01,84.90523809523809
1965-06-01,85.04454545454546
1965-05-01,89.2795
1965-04-01,87.96666666666667
1965-03-01,86.83391304347826
1965-02-01,86.74684210526316
1965-01-01,86.1165
1964-12-01,83.96
1964-11-01,85.43842105263157
1964-10-01,84.84863636363637
1964-09-01,83.40857142857142
1964-08-01,82.0
1964-07-01,83.22227272727274
1964-06-01,80.24272727272727
1964-05-01,80.7205
1964-04-01,79.93681818181818
1964-03-01,78.79904761904761
1964-02-01,77.39
1964-01-01,76.45227272727273
1963-12-01,74.17380952380952
1963-11-01,72.62388888888889
1963-10-01,73.03391304347826
1963-09-01,72.8495
1963-08-01,70.98045454545455
1963-07-01,69.07227272727272
1963-06-01,70.1085
1963-05-01,70.13863636363637
1963-04-01,68.75904761904762
1963-03-01,65.67285714285714
1963-02-01,65.92263157894736
1963-01-01,65.06227272727273
1962-12-01,62.6395
1962-11-01,60.043499999999995
1962-10-01,56.16826086956522
1962-09-01,57.997894736842106
1962-08-01,58.52304347826087
1962-07-01,56.96952380952381
1962-06-01,55.62857142857143
1962-05-01,62.99454545454546
1962-04-01,68.048
1962-03-01,70.29181818181819
1962-02-01,70.22157894736843
1962-01-01,69.06772727272727
1961-12-01,71.711
1961-11-01,71.0765
1961-10-01,67.99636363636364
1961-09-01,67.258
1961-08-01,67.80260869565218
1961-07-01,65.4385
1961-06-01,65.62045454545455
1961-05-01,66.49666666666667
1961-04-01,65.834
1961-03-01,64.11636363636363
1961-02-01,62.17263157894737
1961-01-01,59.715714285714284
1960-12-01,56.8
1960-11-01,55.470000000000006
1960-10-01,53.72904761904762
1960-09-01,54.805238095238096
1960-08-01,56.50521739130434
1960-07-01,55.839999999999996
1960-06-01,57.26318181818181
1960-05-01,55.21999999999999
1960-04-01,55.725
1960-03-01,55.01521739130435
1960-02-01,55.775
1960-01-01,58.028999999999996
1959-12-01,59.056363636363635
1959-11-01,57.23315789473685
1959-10-01,57.00181818181818
1959-09-01,57.05476190476191
1959-08-01,59.39857142857142
1959-07-01,59.7359090909091
1959-06-01,57.459090909090904
1959-05-01,57.95857142857143
1959-04-01,57.098636363636366
1959-03-01,56.148095238095244
1959-02-01,54.77368421052632
1959-01-01,55.61904761904762
1958-12-01,53.488571428571426
1958-11-01,52.501666666666665
1958-10-01,50.94521739130435
1958-09-01,48.959047619047624
1958-08-01,47.70238095238095
1958-07-01,45.975
1958-06-01,44.738571428571426
1958-05-01,43.70333333333333
1958-04-01,42.3447619047619
1958-03-01,42.10857142857143
1958-02-01,41.2615
1958-01-01,41.122727272727275
1957-12-01,40.325714285714284
1957-11-01,40.347368421052636
1957-10-01,41.23565217391304
1957-09-01,43.9845
1957-08-01,45.835
1957-07-01,48.51090909090909
1957-06-01,47.554
1957-05-01,46.77590909090909
1957-04-01,45.048095238095236
1957-03-01,44.03095238095238
1957-02-01,43.46631578947368
1957-01-01,45.425000000000004
1956-12-01,46.443684210526314
1956-11-01,45.7585
1956-10-01,46.243043478260866
1956-09-01,46.83894736842105
1956-08-01,48.49173913043478
1956-07-01,48.77809523809523
1956-06-01,46.26857142857143
1956-05-01,46.53727272727272
1956-04-01,48.051904761904765
1956-03-01,47.48714285714286
1956-02-01,44.43
1956-01-01,44.14523809523809
1955-12-01,45.36666666666667
1955-11-01,44.947
1955-10-01,42.11380952380952
1955-09-01,44.34142857142857
1955-08-01,42.43
1955-07-01,42.692
1955-06-01,39.783181818181816
1955-05-01,37.60285714285714
1955-04-01,37.760000000000005
1955-03-01,36.50086956521739
1955-02-01,36.79105263157894
1955-01-01,35.59619047619047
1954-12-01,34.96727272727273
1954-11-01,33.442
1954-10-01,32.17666666666667
1954-09-01,31.454761904761902
1954-08-01,30.729545454545452
1954-07-01,30.126666666666665
1954-06-01,28.96090909090909
1954-05-01,28.734500000000004
1954-04-01,27.627142857142854
1954-03-01,26.571739130434782
1954-02-01,26.023684210526316
1954-01-01,25.4615
1953-12-01,24.827272727272728
1953-11-01,24.500555555555554
1953-10-01,23.96666666666667
1953-09-01,23.316666666666666
1953-08-01,24.38952380952381
1953-07-01,24.29478260869565
1953-06-01,23.951818181818183
1953-05-01,24.84095238095238
1953-04-01,24.712380952380954
1953-03-01,25.99227272727273
1953-02-01,25.858888888888888
1953-01-01,26.18
1952-12-01,26.039545454545454
1952-11-01,25.029411764705884
1952-10-01,24.25590909090909
1952-09-01,24.78190476190476
1952-08-01,25.182380952380953
1952-07-01,25.079545454545453
1952-06-01,24.38095238095238
1952-05-01,23.729200000000002
1952-04-01,23.7444
1952-03-01,23.814230769230768
1952-02-01,23.745217391304347
1952-01-01,24.188846153846153
1951-12-01,23.4144
1951-11-01,22.71
1951-10-01,23.355384615384615
1951-09-01,23.48421052631579
1951-08-01,22.89217391304348
1951-07-01,21.93190476190476
1951-06-01,21.54619047619048
1951-05-01,21.930000000000003
1951-04-01,21.917599999999997
1951-03-01,21.62923076923077
1951-02-01,22.00090909090909
1951-01-01,21.20846153846154
1950-12-01,19.75
1950-11-01,19.825652173913046
1950-10-01,19.8692
1950-09-01,19.0845
1950-08-01,18.433043478260867
1950-07-01,17.384
1950-06-01,18.73681818181818
1950-05-01,18.44076923076923
1950-04-01,17.83791666666667
1950-03-01,17.353333333333335
1950-02-01,17.20590909090909
1950-01-01,16.878800000000002
1949-12-01,16.5436
1949-11-01,16.110434782608696
1949-10-01,15.886399999999998
1949-09-01,15.486666666666668
1949-08-01,15.287826086956523
1949-07-01,14.762
1949-06-01,13.966818181818182
1949-05-01,14.776666666666666
1949-04-01,14.8936
1949-03-01,14.911481481481482
1949-02-01,14.768636363636363
1949-01-01,15.3564
1948-12-01,15.191923076923077
1948-11-01,15.290869565217392
1948-10-01,16.1896
1948-09-01,15.757619047619048
1948-08-01,15.939545454545454
1948-07-01,16.42142857142857
1948-06-01,16.824545454545454
1948-05-01,16.1125
1948-04-01,15.400384615384617
1948-03-01,14.303461538461537
1948-02-01,14.099545454545455
1948-01-01,14.825999999999999
1947-12-01,15.031818181818181
1947-11-01,15.270588235294118
1947-10-01,15.449545454545454
1947-09-01,15.063333333333333
1947-08-01,15.456666666666665
1947-07-01,15.767727272727273
1947-06-01,14.847619047619048
1947-05-01,14.332380952380953
1947-04-01,14.60190476190476
1947-03-01,15.156190476190474
1947-02-01,15.780526315789473
1947-01-01,15.215909090909092
1946-12-01,15.120952380952382
1946-11-01,14.667777777777777
1946-10-01,14.749130434782609
1946-09-01,15.0935
1946-08-01,17.702727272727273
1946-07-01,18.053636363636365
1946-06-01,18.5805
1946-05-01,18.71227272727273
1946-04-01,18.65142857142857
1946-03-01,17.52190476190476
1946-02-01,17.984444444444446
1946-01-01,18.041363636363634
1945-12-01,17.319473684210525
1945-11-01,17.051052631578948
1945-10-01,16.496363636363636
1945-09-01,15.83578947368421
1945-08-01,14.825714285714284
1945-07-01,14.78142857142857
1945-06-01,15.086666666666666
1945-05-01,14.813636363636363
1945-04-01,14.265714285714285
1945-03-01,13.937142857142858
1945-02-01,13.946111111111112
1945-01-01,13.485454545454546
1944-12-01,13.084999999999999
1944-11-01,12.822
1944-10-01,12.895238095238096
1944-09-01,12.597
1944-08-01,12.82
1944-07-01,13.008000000000001
1944-06-01,12.67818181818182
1944-05-01,12.100909090909092
1944-04-01,11.878421052631579
1944-03-01,12.096086956521738
1944-02-01,11.7705
