Period,First Release
1998-08-01,174.2
1998-07-01,173.8
1998-06-01,173.5
1998-05-01,173.3
1998-04-01,172.9
1998-03-01,172.4
1998-02-01,172.2
1998-01-01,171.7
1997-12-01,171.4
1997-11-01,171.0
1997-10-01,170.8
1997-09-01,170.4
1997-08-01,170.1
1997-07-01,170.0
1997-06-01,169.7
1997-05-01,169.5
1997-04-01,169.2
1997-03-01,168.7
1997-02-01,168.3
1997-01-01,167.9
1996-12-01,167.6
1996-11-01,167.4
