Period,First Release
2018-06-23,227000.0
2018-06-16,218000.0
2018-06-09,218000.0
2018-06-02,222000.0
2018-05-26,221000.0
2018-05-19,234000.0
2018-05-12,222000.0
2018-05-05,211000.0
2018-04-28,211000.0
2018-04-21,209000.0
2018-04-14,232000.0
2018-04-07,233000.0
2018-03-31,242000.0
2018-03-24,215000.0
2018-03-17,229000.0
2018-03-10,226000.0
2018-03-03,231000.0
2018-02-24,210000.0
2018-02-17,222000.0
2018-02-10,230000.0
2018-02-03,221000.0
2018-01-27,230000.0
2018-01-20,233000.0
2018-01-13,220000.0
2018-01-06,261000.0
2017-12-30,250000.0
2017-12-23,245000.0
2017-12-16,245000.0
2017-12-09,225000.0
2017-12-02,236000.0
2017-11-25,238000.0
2017-11-18,239000.0
2017-11-11,249000.0
2017-11-04,239000.0
2017-10-28,229000.0
2017-10-21,233000.0
2017-10-14,222000.0
2017-10-07,243000.0
2017-09-30,260000.0
2017-09-23,272000.0
2017-09-16,259000.0
2017-09-09,284000.0
2017-09-02,298000.0
2017-08-26,236000.0
2017-08-19,234000.0
2017-08-12,232000.0
2017-08-05,240000.0
2017-07-29,240000.0
2017-07-22,244000.0
2017-07-15,233000.0
2017-07-08,247000.0
2017-07-01,248000.0
2017-06-24,244000.0
2017-06-17,241000.0
2017-06-10,237000.0
2017-06-03,245000.0
2017-05-27,248000.0
2017-05-20,234000.0
2017-05-13,232000.0
2017-05-06,236000.0
2017-04-29,238000.0
2017-04-22,257000.0
2017-04-15,244000.0
2017-04-08,234000.0
2017-04-01,234000.0
2017-03-25,258000.0
2017-03-18,258000.0
2017-03-11,241000.0
2017-03-04,243000.0
2017-02-25,223000.0
2017-02-18,244000.0
2017-02-11,239000.0
2017-02-04,234000.0
2017-01-28,246000.0
2017-01-21,259000.0
2017-01-14,234000.0
2017-01-07,247000.0
2016-12-31,235000.0
2016-12-24,265000.0
2016-12-17,275000.0
2016-12-10,254000.0
2016-12-03,258000.0
2016-11-26,268000.0
2016-11-19,251000.0
2016-11-12,235000.0
2016-11-05,254000.0
2016-10-29,265000.0
2016-10-22,258000.0
2016-10-15,260000.0
2016-10-08,246000.0
2016-10-01,249000.0
2016-09-24,254000.0
2016-09-17,252000.0
2016-09-10,260000.0
2016-09-03,259000.0
2016-08-27,263000.0
2016-08-20,261000.0
2016-08-13,262000.0
2016-08-06,266000.0
2016-07-30,269000.0
2016-07-23,266000.0
2016-07-16,253000.0
2016-07-09,254000.0
2016-07-02,254000.0
2016-06-25,268000.0
2016-06-18,259000.0
2016-06-11,277000.0
2016-06-04,264000.0
2016-05-28,267000.0
2016-05-21,268000.0
2016-05-14,278000.0
2016-05-07,294000.0
2016-04-30,274000.0
2016-04-23,257000.0
2016-04-16,247000.0
2016-04-09,253000.0
2016-04-02,267000.0
2016-03-26,276000.0
2016-03-19,265000.0
2016-03-12,265000.0
2016-03-05,259000.0
2016-02-27,278000.0
2016-02-20,272000.0
2016-02-13,262000.0
2016-02-06,269000.0
2016-01-30,285000.0
2016-01-23,278000.0
2016-01-16,293000.0
2016-01-09,284000.0
2016-01-02,277000.0
2015-12-26,287000.0
2015-12-19,267000.0
2015-12-12,271000.0
